Frame,TotalDetected,TotalMatched,FrameTime_ms,DetectTime_ms,MatchTime_ms
0,925,0,922.995,547.289,0.000
1,925,924,687.068,408.125,17.363
2,925,925,649.296,379.164,16.341
3,966,20,655.530,377.382,17.383
4,960,770,655.063,379.819,18.082
5,947,29,658.609,378.211,17.503
6,952,903,650.678,379.247,17.497
7,951,664,658.606,377.404,17.503
8,965,18,664.590,375.467,17.700
9,965,955,649.323,375.258,18.124
10,932,20,664.017,385.461,17.488
11,931,926,654.440,379.617,17.382
12,914,15,667.837,386.850,16.491
13,915,914,654.342,381.256,16.607
14,915,915,651.891,380.110,16.775
15,937,17,668.594,390.465,17.054
16,936,934,670.875,394.309,17.309
17,944,15,662.098,384.600,17.411
18,944,941,649.754,375.789,18.284
19,944,944,660.464,384.395,18.230
20,918,13,697.618,398.613,19.039
21,918,916,683.527,383.247,21.436
22,926,24,691.056,399.969,17.679
23,926,926,677.513,388.113,17.618
24,919,26,668.435,381.888,16.934
25,919,919,679.231,403.808,16.896
26,919,918,673.635,389.275,19.605
27,938,35,725.627,427.960,23.188
28,938,937,807.293,487.568,22.993
29,933,17,703.128,414.388,17.455
30,937,456,711.487,427.231,19.126
31,937,937,677.197,389.063,19.290
32,929,24,665.785,378.170,17.546
33,929,926,688.248,403.021,17.829
34,926,22,698.617,407.461,20.092
35,926,915,680.301,397.313,16.925
36,930,22,692.848,408.137,18.806
37,930,926,685.442,400.954,19.536
38,930,930,688.006,391.721,17.353
39,901,25,673.912,391.349,16.886
40,901,899,668.279,385.457,17.524
41,912,20,683.895,395.294,17.709
42,912,912,676.550,393.889,17.404
43,912,912,682.094,383.849,24.088
44,920,31,722.782,428.797,18.533
45,920,916,690.741,400.604,20.826
46,912,24,739.420,436.462,21.529
47,912,908,685.835,402.679,19.187
48,924,23,689.342,399.752,17.306
49,924,918,691.708,408.811,19.960
50,924,923,663.826,390.014,18.168
51,948,17,687.001,395.479,20.509
52,948,942,673.037,381.420,25.398
53,960,29,676.436,389.048,21.618
54,960,957,839.935,512.919,27.764
55,960,960,743.508,445.104,18.663
56,974,24,902.704,466.420,23.985
57,974,973,918.407,577.340,43.873
58,955,28,948.815,539.131,30.976
59,955,955,803.673,499.068,19.995
60,936,23,800.093,494.056,36.017
61,936,936,717.642,416.528,19.690
62,936,936,742.573,450.902,19.829
63,956,23,732.769,442.102,22.055
64,956,956,794.375,430.790,69.609
65,962,29,784.804,468.045,24.379
66,962,961,795.874,498.522,18.761
67,962,962,695.446,417.883,18.304
68,969,31,698.209,410.202,18.756
69,969,969,669.528,392.443,18.659
70,951,21,696.303,415.314,18.264
71,952,951,692.858,411.931,20.080
72,955,14,686.469,398.868,18.500
73,955,955,677.590,397.965,17.863
74,955,955,721.645,411.538,23.594
