Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
0,175,250,250,250,0,0,0,0,302.119,201.404,197.946,221.527
1,175,250,250,250,175,250,249,250,155.293,187.958,176.315,167.503
2,175,250,250,250,175,250,250,250,142.772,170.489,166.911,169.124
3,216,250,250,250,2,2,7,9,155.375,163.725,168.682,167.747
4,210,250,250,250,164,226,176,210,154.084,167.104,165.153,168.723
5,197,250,250,250,5,10,5,9,151.021,167.541,167.623,172.423
6,202,250,250,250,181,243,242,237,146.728,165.397,168.322,170.231
7,201,250,250,250,131,163,179,192,153.617,168.59,167.559,168.841
8,215,250,250,250,6,4,2,6,159.289,170.826,166.822,167.653
9,215,250,250,250,213,245,249,248,149.985,168.596,166.343,164.4
10,182,250,250,250,7,6,2,5,145.526,171.236,170.823,176.432
11,181,250,250,250,180,250,247,250,146.007,171.778,167.827,168.827
12,164,250,250,250,5,6,1,4,140.461,181.014,170.579,175.784
13,165,250,250,250,164,250,250,250,144.972,171.656,165.452,172.262
14,165,250,250,250,165,250,250,250,143.865,170.112,167.981,169.933
15,187,250,250,250,5,3,3,6,149.859,175.556,170.188,172.991
16,186,250,250,250,185,250,250,250,150.38,172.664,175.934,171.896
17,194,250,250,250,4,1,1,9,150.269,170.68,169.261,171.888
18,194,250,250,250,193,249,250,249,151.998,164.895,166.087,166.773
19,194,250,250,250,194,250,250,250,148.741,172.147,166.517,173.059
20,168,250,250,250,5,2,2,4,154.807,180.964,178.827,183.02
21,168,250,250,250,168,250,250,248,145.832,179.785,177.36,180.55
22,176,250,250,250,9,5,2,8,154.393,179.879,180.43,176.354
23,176,250,250,250,176,250,250,250,150.946,174.182,175.009,177.376
24,169,250,250,250,9,4,4,9,143.378,174.004,175.238,175.815
25,169,250,250,250,169,250,250,250,156.475,175.201,171.343,176.213
26,169,250,250,250,169,249,250,250,145.778,175.915,175.238,176.704
27,188,250,250,250,12,10,4,9,180.246,187.398,180.968,177.016
28,188,250,250,250,188,250,249,250,171.486,184.683,242.456,208.667
29,183,250,250,250,6,7,2,2,172.047,188.502,172.811,169.769
30,187,250,250,250,72,120,114,150,155.801,181.006,176.687,197.993
31,187,250,250,250,187,250,250,250,150.022,178.318,171.304,177.553
32,179,250,250,250,10,7,2,5,150.01,172.799,172.916,170.059
33,179,250,250,250,179,249,248,250,153.156,185.637,177.013,172.441
34,176,250,250,250,7,6,5,4,155.727,180.892,175.217,186.781
35,176,250,250,250,174,246,249,246,146.409,170.287,194.727,168.879
36,180,250,250,250,5,4,7,6,163.679,176.688,175.65,176.831
37,180,250,250,250,180,250,247,249,152.955,169.37,175.843,187.274
38,180,250,250,250,180,250,250,250,148.067,182.371,184.921,172.648
39,151,250,250,250,5,4,5,12,140.41,180.125,176.643,176.734
40,151,250,250,250,150,249,250,250,142.344,180.478,173.624,171.832
41,162,250,250,250,2,7,5,6,147.611,181.053,176.794,178.437
42,162,250,250,250,162,250,250,250,148.223,177.309,175.626,175.391
43,162,250,250,250,162,250,250,250,149.956,175.865,174.29,181.984
44,170,250,250,250,5,7,7,12,164.439,182.613,179.928,195.802
45,170,250,250,250,168,249,249,250,151.263,181.81,177.214,180.453
46,162,250,250,250,6,9,4,5,155.607,182.715,181.719,219.379
47,162,250,250,250,162,249,247,250,150.179,180.998,175.072,179.586
48,174,250,250,250,4,7,4,8,163.2,175.204,173.798,177.14
49,174,250,250,250,173,249,250,246,154.361,174.69,174.482,188.175
50,174,250,250,250,174,250,249,250,149.227,170.386,174.178,170.034
51,198,250,250,250,3,1,5,8,159.045,175.834,183.248,168.874
52,198,250,250,250,195,249,248,250,153.124,181.847,166.61,171.455
53,210,250,250,250,8,7,4,10,159.458,172.942,170.207,173.829
54,210,250,250,250,210,249,248,250,184.704,246.106,194.96,214.165
55,210,250,250,250,210,250,250,250,167.147,175.358,194.797,206.206
56,224,250,250,250,5,3,6,10,222.836,220.867,209.216,249.786
57,224,250,250,250,224,250,249,250,174.32,193.988,269.897,280.202
58,205,250,250,250,7,5,8,8,250.275,241.81,223.481,233.25
59,205,250,250,250,205,250,250,250,191.709,213.035,201.174,197.756
60,186,250,250,250,4,3,7,9,153.216,186.916,268.063,191.898
61,186,250,250,250,186,250,250,250,179.642,182.499,176.716,178.785
62,186,250,250,250,186,250,250,250,157.343,185.54,202.122,197.568
63,206,250,250,250,6,5,8,4,160.581,189.642,194.859,187.687
64,206,250,250,250,206,250,250,250,171.769,197.099,197.107,228.399
65,212,250,250,250,4,8,5,12,208.069,194.25,198.255,184.23
66,212,250,250,250,211,250,250,250,182.584,189.973,233.567,189.75
67,212,250,250,250,212,250,250,250,157.24,195.574,168.405,174.227
68,219,250,250,250,7,5,9,10,164.726,176.384,178.286,178.814
69,219,250,250,250,219,250,250,250,159.224,171.842,168.051,170.41
70,201,250,250,250,2,4,8,7,167.261,176.331,176.955,175.756
71,202,250,250,250,201,250,250,250,162.383,185.587,174.091,170.797
72,205,250,250,250,2,3,5,4,159.867,177.46,174.07,175.071
73,205,250,250,250,205,250,250,250,158.757,175.109,171.115,172.609
74,205,250,250,250,205,250,250,250,166.643,193.991,178.1,182.911
75,219,250,250,250,11,5,8,12,160.601,175.606,171.122,180.782
76,219,250,250,250,219,250,249,250,164.763,181.761,175.636,178.182
77,233,250,250,250,2,1,6,3,167.288,175.377,172.871,174.695
78,233,250,250,250,233,250,248,250,166.104,190.909,172.326,172.167
79,233,250,250,250,233,250,250,250,162.441,172.68,172.251,173.57
80,250,250,250,250,8,2,2,7,168.92,173.03,169.889,169.101
81,250,250,250,250,248,250,249,250,173.043,171.395,168.689,168.52
82,250,250,250,250,7,5,5,6,169.201,171.613,169.119,179.947
83,250,250,250,250,248,250,250,250,173.286,173.646,172.574,171.689
84,250,250,250,250,8,2,5,3,169.069,171.319,170.698,177.321
85,250,250,250,250,248,250,248,250,169.088,180.66,179.196,176.163
86,250,250,250,250,250,250,250,250,167.211,169.17,167.748,171.259
87,250,250,250,250,7,8,8,13,171.905,169.228,171.883,170.7
88,250,250,250,250,249,250,250,250,173.464,176.097,175.88,173.408
89,250,250,250,250,9,8,8,5,169.65,175.518,173.32,169.099
90,250,250,250,250,120,131,133,153,175.17,174.809,172.85,173.106
91,250,250,250,250,250,250,250,250,169.896,171.123,170.909,176.877
92,250,250,250,250,3,5,4,6,195.307,189.669,250.722,238.827
